,acceptance,enrollment,graduation,retention,tuition
268,53.1,9646.0,12.0,63.0,16946.0
269,86.2,15168.0,47.0,71.0,17580.0
270,99.1,2472.0,54.0,73.0,22330.0
271,91.1,2655.0,55.0,71.0,26830.0
272,96.8,26580.0,40.0,70.0,18417.0
273,75.5,9314.0,33.0,77.0,19240.0
274,99.5,16016.734375,20.0,62.0,16066.0
275,60.4,16687.0,44.0,75.0,14344.0
276,61.4,15874.0,38.0,77.0,24109.0
277,64.7,22139.0,41.0,77.0,15340.0
278,68.7,16719.0,47.0,75.0,24429.0
279,80.0,14786.0,46.0,73.0,16520.0
280,88.2,27402.0,41.0,76.0,20480.0
281,49.2,10071.0,34.0,66.0,19158.0
282,89.1,12497.0,45.0,69.0,18037.0
283,61.7,35778.0,48.0,77.0,19608.0
284,87.2,14636.0,37.0,66.0,15504.0
285,64.7,16468.0,50.0,75.0,15024.0
286,58.5,33239.0,42.0,71.0,19497.0
287,99.8,22749.0,38.0,73.0,17639.0
288,73.3,30474.0,28.0,60.0,19454.0
289,94.8,21453.0,45.0,65.0,18174.0
290,60.8,12651.0,45.0,74.0,18625.0
291,71.4,29114.0,43.0,72.0,19610.0
292,80.5,28938.0,28.0,76.0,25768.0
293,95.2,14893.0,41.0,71.0,14961.0
294,68.7,16780.0,40.0,65.0,16546.0
295,59.0,4184.0,29.0,84.0,19300.0
296,59.05,16017.8671875,65.0,84.0,25869.5
297,59.075,1350.0,65.0,84.0,25713.0
298,59.087500000000006,16018.43359375,65.0,39.0,11952.0
299,59.09375,16018.716796875,9.0,84.0,11517.0
300,59.096875,16018.8583984375,65.0,100.0,25879.25
301,59.0984375,15845.0,72.0,84.0,6120.0
302,59.099218750000006,16018.92919921875,20.0,67.0,25884.125
303,59.099609375,16018.964599609375,5.0,84.0,25886.5625
304,96.4,50208.0,65.0,80.0,13830.0
305,99.9,12581.0,39.0,68.0,9710.0
306,59.0998046875,16018.982299804688,65.0,100.0,25887.78125
307,59.09990234375,15845.0,72.0,84.0,6120.0
308,59.099951171875006,16018.991149902344,20.0,67.0,25888.390625
309,59.0999755859375,16018.995574951172,5.0,84.0,25888.6953125
310,96.4,50208.0,65.0,80.0,13830.0
311,99.9,12581.0,39.0,68.0,9710.0
312,59.09998779296875,16018.997787475586,65.0,100.0,25888.84765625
313,59.09999389648438,15845.0,72.0,84.0,6120.0
314,59.09999694824219,16018.998893737793,20.0,67.0,25888.923828125
315,59.099998474121094,16018.999446868896,5.0,84.0,25888.9619140625
316,96.4,50208.0,65.0,80.0,13830.0
317,99.9,12581.0,39.0,68.0,9710.0
